cep;logradouro;complemento;bairro;localidade;uf;ibge;gia;ddd;siafi
08090-284;Rua 03 de Outubro;(Ch Três Meninas);Jardim Helena;São Paulo;SP;3550308;1004;11;7107
04849-529;Rua 13 de Maio;;Cantinho do Céu;São Paulo;SP;3550308;1004;11;7107
04843-425;Viela 16;;Parque São José;São Paulo;SP;3550308;1004;11;7107
08226-021;Rua 18 de Abril;;Cidade Antônio Estevão de Carvalho;São Paulo;SP;3550308;1004;11;7107
04180-112;Travessa 19 de Agosto;;Jardim Maria Estela;São Paulo;SP;3550308;1004;11;7107
04236-094;Rua 2 de Fevereiro;;Cidade Nova Heliópolis;São Paulo;SP;3550308;1004;11;7107
02317-262;Travessa 2 de Outubro;;Vila Nova Mazzei;São Paulo;SP;3550308;1004;11;7107
03047-000;Rua 21 de Abril;;Brás;São Paulo;SP;3550308;1004;11;7107
03807-020;Rua 21 de Setembro;;Vila Robertina;São Paulo;SP;3550308;1004;11;7107
08240-001;Rua 23 de Novembro;;Vila Progresso (Zona Leste);São Paulo;SP;3550308;1004;11;7107
